Commune,Code postal,Code INSEE,Departement,Code departement,Code region,Êtes-vous indépendant ?,Où vendez-vous vos produits / services ?,"Pouvez-vous préciser, dans quel(s) lieu(x) intervenez-vous ?(Plusieurs réponses sont possibles)",Dans quelle ville intervenez-vous le plus régulièrement ? (Renseigner le code postal),Dans quelle ville travaillez-vous le plus régulièrement ? (Renseigner le code postal),Quelle est la catégorie de votre commerce ?,Pouvez vous préciser ? (5),Pouvez vous préciser ? (6),Pouvez vous préciser ? (7),Pouvez vous préciser ? (9),Pouvez vous préciser ? (4),Pouvez vous préciser ? (1),Pouvez vous préciser ?,Pouvez vous préciser ? (8),Pouvez vous préciser ? (3),Pouvez vous préciser ? (2),Que propose votre commerce ? (Plusieurs réponses sont possibles),Travaillez-vous seul ?,Êtes-vous en contact direct avec des clients ?,"Hors période de fêtes, quelle est la fréquentation moyenne de votre commerce par jour ? (en nombre de personnes)",Avez-vous l'habitude de discuter avec vos clients en dehors du cadre strict de la vente ? (exemple : prendre des nouvelles personnelles),À quelle fréquence donnez-vous des explications approfondies sur vos produits à vos clients ? Cela peut aussi concerner des démonstrations.,"Dans certains cas, vous pouvez être susceptible d'organiser, à l'intérieur de votre magasin, des séances d'information, démonstrations ou ateliers (explications approfondies d'utilisation de vos produits, transmission de connaissances, etc.).Combien en organisez-vous par an ? (Si vous n'en organisez aucune, mettre '0')",Utilisez-vous des techniques traditionnelles et/ou artisanales pour fabriquer vos produits ?,Collaborez-vous avec des associations locales ? Par exemple des associations de quartier ou d'aide humanitaire.(Plusieurs réponses sont possibles),"Etes-vous sollicité par des personnes en situation de précarité dans le cadre de votre activité commerciale ?Cela peut être pour un café, de l'eau ou pour utiliser des toilettes.","Lorsque vous êtes sollicité par quelqu'un en situation de précarité, quel type d'aide proposez-vous ? (Plusieurs réponses sont possibles)",Pouvez-vous préciser ?,"Certaines personnes rentrent dans un magasin pour acheter un produit, mais aussi pour se sentir moins seules. Il se peut que certains de vos clients vous confient leurs problématiques personnelles. A quelle fréquence échangez-vous sur ces sujets privés ?",Vous arrive-t-il de rediriger un client vers une aide extérieure ?,A quelle fréquence cela vous arrive-t-il ?,"Les fêtes de quartier, marchés de Noël et d'autres évènements permettent de dynamiser la vie du quartier. Les commerçants y sont très souvent impliqués. Participez-vous à l'organisation de ce genre d'évènement ? Si oui, combien de fois par an ?Marquez ""0"" si vous n'avez pas l'habitude d'organiser ce genre d'évènement.",Faites-vous partie d'un réseau ou d'une association de commerçants ?,Collaborez-vous avec des commerçants ayant un espace de vente plus conséquent (un espace pour vendre/revendre vos produits ou abriter vos services) ?,L'entraide entre commerçants permet de faire face à des difficultés et constitue un réseau d'échange de services. Quels services avez-vous l'habitude de rendre à vos collègues commerçants ? (Plusieurs réponses sont possibles),Pouvez-vous préciser ? (6),"De même, il peut exister une entraide avec les habitants de l'immeuble dans lequel se situe votre commerce. Quels services avez-vous l'habitude de rendre aux habitants de votre immeuble ?",Pouvez-vous préciser ? (5),"Faites-vous appel ou collaborez-vous avec des commerçants indépendants sans pas-de-porte fixe (exemples : un artisan n'ayant pas de local dédié, un commerçant ambulant) ?",Dans quel(s) domaine(s) ?(Plusieurs réponses sont possibles),"Un vol, une bagarre ou une agression peuvent malheureusement avoir lieu à proximité de votre lieu d'activité. Lorsque cela arrive, comment réagissez-vous ?","A quelle fréquence intervenez-vous dans des situations d'insécurité (vols, bagarres, agressions) ?","Un cycliste qui tombe, une personne âgée qui glisse, un accident de voiture… Ce sont des exemples de situations pouvant avoir eu lieu à proximité de votre lieu d'activité. À quelle fréquence venez-vous en aide à une personne accidentée ou ayant fait un malaise ?","L'espace public peut être le lieu où se déroule une série de situations portant attente à la sécurité des citoyens – harcèlement de rue, vol, agression physique, sexuelle ou verbale, etc. Suite à un de ces évènements, les personnes victimes rentrent dans des commerces pour se sentir en sécurité. À quelle fréquence avez-vous affaire à ce genre de situation ?",Proposez-vous au sein de votre commerce des solutions de recyclage ?(Plusieurs réponses sont possibles),Pouvez-vous préciser ? (2),Mettez-vous en œuvre des actions visant à réduire les déchets de votre commerce ? Ou bien des actions pour réduire les déchets engendrés par l'achat de vos produits ?(Plusieurs réponses sont possibles),Pouvez-vous préciser ? (1),Avez-vous installé des équipements pour réduire la consommation d'eau ou d'électricité de votre commerce ?(Plusieurs réponses sont possibles),Pouvez-vous préciser ? (3),Que proposez-vous à vos clients pour limiter l'impact environnemental de leur consommation ?(Plusieurs réponses sont possibles),Pouvez-vous préciser ? (4),Vous arrive-t-il d'interpeller les services techniques de la mairie suite à du matériel défectueux ou une dégradation de l'espace public environnant (exemples : lampadaire défectueux ou tags) ?,"Nettoyez-vous les abords extérieurs de votre commerce ? (exemples : coup de balai, ramassage de déchets)","Certains commerces, surtout ceux situés en centre-ville, font partie du patrimoine architectural. La façade ou les murs sont parfois classés. Est-ce que votre commerce se situe dans un local classé au patrimoine architectural ?",Êtes-vous impliqué dans des initiatives d'embellissement de la rue ?
LE TRAIT,76580,76709,Seine-Maritime,76,28,Oui,Dans un lieu de vente permanent / fixe,,,,"Hygiène, santé, beauté",,,,,Pharmacie,,,,,,"Des services, Des produits fabriqués ou élaborés par d'autres","Non, je travaille avec des salariés / associés",Oui,100 et 200,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),3,,"Oui, avec des associations d'aide sociale et/ou humanitaire, Oui, avec de associations culturelles, Oui, avec des associations de quartier, Oui, avec des associations sportives",Très rarement (moins d'une fois par mois),Accès aux toilettes,,Régulièrement (3 à 5 fois par semaine),"Oui, vers des services sociaux / assistante sociale",Ponctuellement (1 à 2 fois par semaine),0,Je fais partie d'une association de commerçants,Non,J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin,,"Je réceptionne des colis pour les habitants de mon immeuble, Je garde un oeil sur les appartements des habitants de mon immeuble en leur absence",,Non,,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Ponctuellement (1 à 2 fois par mois),Jamais,Autres,,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,"Equipements économes en eau (exemple : robinets à faible débit), Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer)",,J'ai parfois des discussions informelles sur le sujet,,Très rarement (moins d'une fois par mois),Très rarement (moins d'une fois par mois),"Non, mon commerce ne se situe pas dans un bâtiment classé, Non, la façade ou l'immeuble n'est pas classé patrimoine historique mais est ancien. Je fais des efforts pour préserver l'aspect original",Embellissement et soin de la vitrine
LE TRAIT,76580,76709,Seine-Maritime,76,28,Oui,Dans un lieu de vente permanent / fixe,,,,"Hygiène, santé, beauté",,,,,Pharmacie,,,,,,"Des services, Des produits fabriqués ou élaborés par moi(nous)-même(s), Des produits fabriqués ou élaborés par d'autres","Non, je travaille avec des salariés / associés",Oui,100 et 200,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),3,Non,"Oui, avec des associations d'aide sociale et/ou humanitaire, Oui, avec des associations de quartier",Rarement (1 à 2 fois par mois),"Don de produits d'hygiène, Partenariat avec des associations d'aide humanitaire, Autres",,Très régulièrement (plusieurs fois par jour),"Oui, vers des services sociaux / assistante sociale, Oui, vers des services de santé",Ponctuellement (1 à 2 fois par semaine),0,Je fais partie d'une association de commerçants,Non,"Je réceptionne des colis pour d'autres commerçants de la rue, Je recommande et j'adresse des clients à d'autres commerces, Autres",Échange de monnaie,"Je réceptionne des colis pour les habitants de mon immeuble, Je garde un oeil sur les appartements des habitants de mon immeuble en leur absence",,Oui,"Réparation et entretien, Santé, bien-être et beauté",J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Régulièrement (3 à 5 fois par mois),Rarement (1 à 2 fois par an),"Bornes de recyclage pour piles électriques, Autres",,"Mise à disposition d'emballages réutilisables : sacs en tissu, pots en verre, etc, Choix de fournisseurs écoresponsables",,"Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer), Sources alternatives d'énergie",,"Je ne communique pas sur le sujet, J'ai des affiches et supports visuels, Je donne des conseils pratiques",,Rarement (1 à 2 fois par mois),Régulièrement (3 à 5 fois par semaine),"Non, la façade ou l'immeuble n'est pas classé patrimoine historique mais est ancien. Je fais des efforts pour préserver l'aspect original","Verdissement (exemples : jardinières, pots de fleurs), Bancs et assises, Embellissement et soin de la vitrine"
PARIS 11,75011,75111,Paris,75,11,Non,Dans un lieu de vente à durée limitée / non fixe,"Petit local commercial à loyer réduit,Espace dans une boutique revendant mes produits",75011,,Equipement de la maison,,,Décoration et arts de la table,,,,,,,,Des produits fabriqués ou élaborés par d'autres,"Non, je travaille avec des salariés / associés",Oui,1 à 20,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),,,Je n'ai pas l'habitude de collaborer avec des associations,Très rarement (moins d'une fois par mois),Don de nourriture ou eau,,Rarement (1 à 2 fois par mois),Je n'oriente pas ou alors rarement,,2,Non je ne fais partie d'aucune organisation,Oui,"Je garde un oeil sur le magasin de mes collègues,Je recommande et j'adresse des clients à d'autres commerces",,,,Oui,"Art et culture,Santé, bien-être et beauté,Mode et maison",J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Rarement (1 à 2 fois par an),Très rarement (moins d'une fois par an),Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,"Je recycle les déchets engendrés par la fabrication de mes produits. (exemples : recycler la cire d'abeille en la transformant en bougie ou bee wrap, recycler le pain en chapelure, réutiliser des chutes de vêtements)",,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,J'ai parfois des discussions informelles sur le sujet,,Très rarement (moins d'une fois par mois),Régulièrement (3 à 5 fois par semaine),,Embellissement et soin de la vitrine
PARIS 10,75010,75110,Paris,75,11,Oui,Dans un lieu de vente permanent / fixe,,,,Equipement de la personne,,Habillement,,,,,,,,,Des produits fabriqués ou élaborés par d'autres,"Non, je travaille avec des salariés / associés",Oui,20 à 50,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),2,,"Oui, avec des associations de quartier",Jamais,Je n'ai pas l'habitude de proposer quelque chose,,Jamais,Je n'oriente pas ou alors rarement,,2,Je fais partie d'une association de commerçants,Non,"Je réceptionne des colis pour d'autres commerçants de la rue,Je garde un oeil sur le magasin de mes collègues,Je recommande et j'adresse des clients à d'autres commerces",,Je réceptionne des colis pour les habitants de mon immeuble,,Non,,Je n'interviens que si la situation est grave,Rarement (1 à 2 fois par an),Très régulièrement (plusieurs fois par semaine),Régulièrement (3 à 5 fois par mois),"Bornes de recyclage traditionnelles : carton et tout venant,Autres",,"Je recycle les déchets engendrés par la fabrication de mes produits. (exemples : recycler la cire d'abeille en la transformant en bougie ou bee wrap, recycler le pain en chapelure, réutiliser des chutes de vêtements)",,"Equipements économes en eau (exemple : robinets à faible débit),Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer)",,"Je propose des réductions sur des produits si utilisation d'emballages réutilisables,Autres",Clic and collect,Très rarement (moins d'une fois par mois),Régulièrement (3 à 5 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé","Verdissement (exemples : jardinières, pots de fleurs),Décoration de la rue,Embellissement et soin de la vitrine"
MARSEILLE 01,13001,13201,Bouches-du-Rhône,13,93,Oui,Dans un lieu de vente permanent / fixe,,,,Equipement de la maison,,,Décoration et arts de la table,,,,,,,,Des produits fabriqués ou élaborés par d'autres,"Non, je travaille avec des salariés / associés",Oui,50 à 100,Régulièrement (3 à 5 fois par semaine),Très régulièrement (plusieurs fois par jour),,,Je n'ai pas l'habitude de collaborer avec des associations,Régulièrement (3 à 5 fois par semaine),"Café ou thé,Autres",Cigarette,Régulièrement (3 à 5 fois par semaine),Je n'oriente pas ou alors rarement,,,Non je ne fais partie d'aucune organisation,Non,"Je réceptionne des colis pour d'autres commerçants de la rue,J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin,Je garde un oeil sur le magasin de mes collègues,Je recommande et j'adresse des clients à d'autres commerces",,Je réceptionne des colis pour les habitants de mon immeuble,,Oui,"Mode et maison,Divers",J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Très rarement (moins d'une fois par an),Très rarement (moins d'une fois par an),Bornes de recyclage traditionnelles : carton et tout venant,,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,La réduction de la consommation d'eau ou d'électricité est compliquée à mettre en oeuvre et/ou ne fait pas partie de mes priorités,,Je ne communique pas sur le sujet,,Très rarement (moins d'une fois par mois),Très régulièrement (plusieurs fois par jour),"Non, mon commerce ne se situe pas dans un bâtiment classé",Embellissement et soin de la vitrine
ST OUEN SUR SEINE,93400,93070,Seine-Saint-Denis,93,11,Oui,Dans un lieu de vente permanent / fixe,,,,Equipement de la maison,,,"Fleurs, jardin et animaux",,,,,,,,Des produits fabriqués ou élaborés par d'autres,"Non, je travaille avec des salariés / associés",Oui,20 à 50,Ponctuellement (1 à 2 fois par semaine),Très régulièrement (plusieurs fois par jour),4,,"Oui, avec des associations dans le domaine de l'environnement,Je n'ai pas l'habitude de collaborer avec des associations",Régulièrement (3 à 5 fois par semaine),"Accès aux toilettes,Café ou thé,Don de nourriture ou eau",,Régulièrement (3 à 5 fois par semaine),"Oui, vers des services sociaux / assistante sociale,Oui, vers les services de police ou gendarmerie,Oui, vers des services de santé",Régulièrement (3 à 5 fois par semaine),0,Je fais partie d'une association de commerçants,Non,"Je réceptionne des colis pour d'autres commerçants de la rue,J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin,Je garde un oeil sur le magasin de mes collègues,Je recommande et j'adresse des clients à d'autres commerces",,"J'offre des réductions sur des produits lorsqu'un habitant de mon immeuble vient dans mon magasin,Autres",on jette un œil sur les enfants des habitants,Oui,Mode et maison,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Très rarement (moins d'une fois par an),Très rarement (moins d'une fois par an),Bornes de recyclage traditionnelles : carton et tout venant,,"Je recycle les déchets engendrés par la fabrication de mes produits. (exemples : recycler la cire d'abeille en la transformant en bougie ou bee wrap, recycler le pain en chapelure, réutiliser des chutes de vêtements)",,"Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer),Je ne suis pas concerné par ce sujet dans le cadre de mon commerce",,Autres,on propose de payer les sacs pour limiter leur usage,Jamais,Régulièrement (3 à 5 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé","Verdissement (exemples : jardinières, pots de fleurs)"
TROYES,10000,10387,Aube,10,44,Oui,Dans un lieu de vente permanent / fixe,,,,Divers,,,,,,Commerces non spécialisés divers,,,,,"Des services, Des produits fabriqués ou élaborés par d'autres","Non, je travaille avec des salariés / associés",Oui,20 à 50,Très régulièrement (plusieurs fois par jour),Rarement (1 à 2 fois par mois),,,Je n'ai pas l'habitude de collaborer avec des associations,Très rarement (moins d'une fois par mois),Je n'ai pas l'habitude de proposer quelque chose,,Très régulièrement (plusieurs fois par jour),"Oui, vers des services sociaux / assistante sociale, Oui, vers les services de police ou gendarmerie, Oui, vers des services de santé",Très rarement (moins d'une fois par mois),0,Non je ne fais partie d'aucune organisation,Non,"Je garde un oeil sur le magasin de mes collègues, Je recommande et j'adresse des clients à d'autres commerces",,Je n'ai pas de voisins d'immeuble dans le cadre de mon commerce,,Non,,J'ai rarement ou jamais affaire à ce genre de situation,,Très rarement (moins d'une fois par an),Jamais,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,"Mise à disposition d'emballages réutilisables : sacs en tissu, pots en verre, etc",,La réduction de la consommation d'eau ou d'électricité est compliquée à mettre en oeuvre et/ou ne fait pas partie de mes priorités,,Je ne communique pas sur le sujet,,Jamais,Jamais,"Non, mon commerce ne se situe pas dans un bâtiment classé, Non, la façade ou l'immeuble n'est pas classé patrimoine historique mais est ancien. Je fais des efforts pour préserver l'aspect original",Je ne suis pas concerné par ce sujet dans le cadre de mon commerce
,,,,,,Oui,Je n'ai pas d'espace dédié (déplacements à domicile ou présence en ligne uniquement),Internet et réseaux sociaux,,57200,Equipement de la personne,,Habillement,,,,,,,,,Des produits fabriqués ou élaborés par d'autres,"Non, je travaille avec des salariés / associés",Non,1 à 20,,,,,Je n'ai pas l'habitude de collaborer avec des associations,,Je n'ai pas l'habitude de proposer quelque chose,,,,Très rarement (moins d'une fois par mois),,Non je ne fais partie d'aucune organisation,Non,Cette situation ne s'applique pas à mon activité,,,,Non,,J'ai rarement ou jamais affaire à ce genre de situation,,Jamais,,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,,,,,,
PARIS 11,75011,75111,Paris,75,11,Oui,Dans un lieu de vente permanent / fixe,,,,"Culture, loisirs",,,,Jeux et jouets,,,,,,,Des produits fabriqués ou élaborés par moi(nous)-même(s),"Non, je travaille avec des salariés / associés",Oui,20 à 50,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),0,Oui,"Oui, avec des associations de quartier",Jamais,Je n'ai pas l'habitude de proposer quelque chose,,Régulièrement (3 à 5 fois par semaine),"Oui, vers les services de police ou gendarmerie",Très rarement (moins d'une fois par mois),0,Je fais partie d'une association de commerçants,Oui,"Je réceptionne des colis pour d'autres commerçants de la rue,J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin,Je garde un oeil sur le magasin de mes collègues,Je recommande et j'adresse des clients à d'autres commerces",,"Je réceptionne des colis pour les habitants de mon immeuble,J'offre des réductions sur des produits lorsqu'un habitant de mon immeuble vient dans mon magasin",,Non,,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Ponctuellement (1 à 2 fois par mois),Jamais,Jamais,Bornes de recyclage traditionnelles : carton et tout venant,,"Mise à disposition d'emballages réutilisables : sacs en tissu, pots en verre, etc,Utilisation de contenants durables : en verre, inox ou bois,Choix de fournisseurs écoresponsables",,"Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer)",,Je donne des conseils pratiques,,Rarement (1 à 2 fois par mois),Rarement (1 à 2 fois par mois),"Non, la façade ou l'immeuble n'est pas classé patrimoine historique mais est ancien. Je fais des efforts pour préserver l'aspect original",Embellissement et soin de la vitrine
ROUEN,76000,76540,Seine-Maritime,76,28,Non,Dans un lieu de vente permanent / fixe,,,,Equipement de la maison,,,Décoration et arts de la table,,,,,,,,Des produits fabriqués ou élaborés par d'autres,"Non, je travaille avec des salariés / associés",Oui,Plus de 200,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),0,,"Oui, avec des associations d'aide sociale et/ou humanitaire",Rarement (1 à 2 fois par mois),"Don de produits d'hygiène,Don de nourriture ou eau",,Rarement (1 à 2 fois par mois),"Oui, vers des services sociaux / assistante sociale",Rarement (1 à 2 fois par mois),2,Non je ne fais partie d'aucune organisation,Non,"Je réceptionne des colis pour d'autres commerçants de la rue,J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin,Je garde un oeil sur le magasin de mes collègues,Je recommande et j'adresse des clients à d'autres commerces",,Je n'ai pas de voisins d'immeuble dans le cadre de mon commerce,,Non,,J'ai rarement ou jamais affaire à ce genre de situation,,Très rarement (moins d'une fois par an),Rarement (1 à 2 fois par an),Autres,Tri,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,"Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer)",,Je ne communique pas sur le sujet,,Très rarement (moins d'une fois par mois),Ponctuellement (1 à 2 fois par semaine),"Oui, la façade ou l'immeuble est classé patrimoine historique et j'y apporte un soin particulier",Embellissement et soin de la vitrine
PARIS 11,75011,75111,Paris,75,11,Oui,Dans un lieu de vente permanent / fixe,,,,"Café, hôtels, restaurants",,,,,,,,,,Restauration traditionnelle,Des produits fabriqués ou élaborés par moi(nous)-même(s),"Non, je travaille avec des salariés / associés",Oui,100 et 200,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),4,Oui,"Oui, avec des associations de quartier",Ponctuellement (1 à 2 fois par semaine),"Accès aux toilettes, Café ou thé, Don de nourriture ou eau",,Très régulièrement (plusieurs fois par jour),Je n'oriente pas ou alors rarement,,1,Je fais partie d'une association de commerçants,Non,"Je réceptionne des colis pour d'autres commerçants de la rue, J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin, Je garde un oeil sur le magasin de mes collègues, Je co-organise des évènements avec d'autres commerçants de ma ville, Je recommande et j'adresse des clients à d'autres commerces",,Je réceptionne des colis pour les habitants de mon immeuble,,Non,,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Rarement (1 à 2 fois par an),Rarement (1 à 2 fois par an),Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,"Compost, Mise à disposition d'emballages réutilisables : sacs en tissu, pots en verre, etc, Utilisation de contenants durables : en verre, inox ou bois, Choix de fournisseurs écoresponsables, Système de consigne pour les produits vendus en magasin, Je recycle les déchets engendrés par la fabrication de mes produits. (exemples : recycler la cire d'abeille en la transformant en bougie ou bee wrap, recycler le pain en chapelure, réutiliser des chutes de vêtements), Autres","Nous faisons -50% sur nos invendus, via un compte instagram dédié","Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer)",,"Je propose des réductions sur des produits si utilisation d'emballages réutilisables, Autres",,Rarement (1 à 2 fois par mois),Régulièrement (3 à 5 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé",Décoration de la rue
ROUEN,76000,76540,Seine-Maritime,76,28,Oui,Dans un lieu de vente permanent / fixe,,,,"Café, hôtels, restaurants",,,,,,,,,,Restauration traditionnelle,"Des services,Des produits fabriqués ou élaborés par moi(nous)-même(s)","Non, je travaille avec des salariés / associés",Oui,100 et 200,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),24,Oui,"Oui, avec des associations d'aide sociale et/ou humanitaire,Oui, avec de associations culturelles",Jamais,Je n'ai pas l'habitude de proposer quelque chose,,Régulièrement (3 à 5 fois par semaine),Je n'oriente pas ou alors rarement,,3,Je fais partie d'une association de commerçants,Oui,"J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin,Je garde un oeil sur le magasin de mes collègues,Je co-organise des évènements avec d'autres commerçants de ma ville,Je recommande et j'adresse des clients à d'autres commerces",,Je ne connais pas vraiment les habitants de mon immeuble,,Oui,Art et culture,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Très rarement (moins d'une fois par an),Très rarement (moins d'une fois par an),"Bornes de recyclage pour piles électriques,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce",,"Mise à disposition d'emballages réutilisables : sacs en tissu, pots en verre, etc,Système de consigne pour les produits vendus en magasin,Je recycle les déchets engendrés par la fabrication de mes produits. (exemples : recycler la cire d'abeille en la transformant en bougie ou bee wrap, recycler le pain en chapelure, réutiliser des chutes de vêtements)",,"Equipements économes en eau (exemple : robinets à faible débit),Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer)",,Je ne communique pas sur le sujet,,Ponctuellement (1 à 2 fois par semaine),Ponctuellement (1 à 2 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé","Bancs et assises,Embellissement et soin de la vitrine"
LANGON,33210,33227,Gironde,33,75,Oui,Dans un lieu de vente permanent / fixe,,,,"Culture, loisirs",,,,Librairie et papeterie,,,,,,,Des produits fabriqués ou élaborés par d'autres,"Oui, je travaille seul",Oui,1 à 20,Ponctuellement (1 à 2 fois par semaine),Très régulièrement (plusieurs fois par jour),2,,"Oui, avec de associations culturelles, Oui, avec des associations sportives",Jamais,Je n'ai pas l'habitude de proposer quelque chose,,Très rarement (moins d'une fois par mois),Je n'oriente pas ou alors rarement,,6,Je fais partie d'une association de commerçants,Non,"Je réceptionne des colis pour d'autres commerçants de la rue, J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin, Je recommande et j'adresse des clients à d'autres commerces",,Je n'ai pas de voisins d'immeuble dans le cadre de mon commerce,,Non,,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Très rarement (moins d'une fois par an),Très rarement (moins d'une fois par an),Autres,,La réduction des déchets est compliquée à mettre en oeuvre et/ou ne fait pas partie de mes priorités,,Autres,,Je ne communique pas sur le sujet,,Très rarement (moins d'une fois par mois),Ponctuellement (1 à 2 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé",Décoration de la rue
PARIS 10,75010,75110,Paris,75,11,Oui,Dans un lieu de vente permanent / fixe,,,,Divers,,,,,,Biens d'occasion divers,,,,,Des produits fabriqués ou élaborés par d'autres,"Non, je travaille avec des salariés / associés",Oui,50 à 100,Je ne sais pas,Très régulièrement (plusieurs fois par jour),0,,"Oui, avec de associations culturelles, Oui, avec des associations dans le domaine de l'environnement",Jamais,Je n'ai pas l'habitude de proposer quelque chose,,Rarement (1 à 2 fois par mois),Je n'oriente pas ou alors rarement,,1,Non je ne fais partie d'aucune organisation,Non,"Je réceptionne des colis pour d'autres commerçants de la rue, J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin, Je co-organise des évènements avec d'autres commerçants de ma ville, Je recommande et j'adresse des clients à d'autres commerces",,J'offre des réductions sur des produits lorsqu'un habitant de mon immeuble vient dans mon magasin,,Oui,"Art et culture, Mode et maison",J'ai rarement ou jamais affaire à ce genre de situation,,Jamais,Jamais,Container de recyclage pour vêtements,,Autres,Nous sommes une friperie,"Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer), Low tech (technologies ou machines simples à basse consommation) pour fabriquer mes produits (exemples : saponification à froid, feu de bois, marmite norvégienne)",,"J'ai parfois des discussions informelles sur le sujet, Je donne des conseils pratiques, Autres",,Jamais,Très régulièrement (plusieurs fois par jour),"Non, mon commerce ne se situe pas dans un bâtiment classé",Embellissement et soin de la vitrine
